State,Area_sq_mile,Pop_2018,latitude,longitude,Pop_Density
Alabama,50645,4887871,33.258882,-86.829534,97
Alaska,570641,737438,64.445961,-149.680909,1
Arizona,113594,7171646,34.395342,-111.763275,63
Arkansas,52035,3013825,35.204888,-92.447911,58
California,155779,39557045,36.701463,-118.755997,254
Colorado,103642,5695564,38.725178,-105.607717,55
Connecticut,4842,3572665,41.65002,-72.734216,738
Delaware,1949,967171,38.692045,-75.401331,496
Florida,53625,21299325,27.756767,-81.463983,397
Georgia,57513,10519475,32.329381,-83.113737,183
Hawaii,6423,1420491,21.216044,-157.975203,221
Idaho,82643,1754208,43.644764,-114.015407,21
Illinois,55519,12741080,40.079661,-89.433729,229
Indiana,35826,6691878,40.327013,-86.174693,187
Iowa,55857,3156145,41.921673,-93.31227,57
Kansas,81759,2911505,38.27312,-98.582187,36
Kentucky,39486,4468402,37.572603,-85.155141,113
Louisiana,43204,4659978,30.870388,-92.007126,108
Maine,30843,1338404,45.709097,-68.85902,43
Maryland,9707,6042718,39.516223,-76.938207,623
Massachusetts,7800,6902149,42.378877,-72.032366,885
Michigan,56539,9995915,43.621196,-84.682435,177
Minnesota,79627,5611179,45.989659,-94.611329,70
Mississippi,46923,2986530,32.971565,-89.73485,64
Missouri,68742,6126452,38.760482,-92.561787,89
Montana,145546,1062305,47.375267,-109.638758,7
Nebraska,76824,1929268,41.737023,-99.587382,25
Nevada,109781,3034392,39.515883,-116.853723,28
New Hampshire,8953,1356458,43.484913,-71.655399,152
New Jersey,7354,8908520,40.075738,-74.404162,1211
New Mexico,121298,2095428,34.570817,-105.993007,17
New York,47126,19542209,43.156168,-75.844995,415
North Carolina,48618,10383620,35.672964,-79.039292,214
North Dakota,69001,760077,47.620146,-100.540737,11
Ohio,40861,11689442,40.225357,-82.688139,286
Oklahoma,68595,3943079,34.955082,-97.268406,57
Oregon,95988,4190713,43.97928,-120.737257,44
Pennsylvania,44743,12807060,40.969989,-77.727883,286
Rhode Island,1034,1057315,41.796241,-71.599237,1023
South Carolina,30061,5084127,33.687439,-80.436374,169
South Dakota,75811,882235,44.647176,-100.348761,12
Tennessee,41235,6770010,35.773008,-86.282008,164
Texas,261232,28701845,31.816038,-99.512099,110
Utah,82170,3161105,39.422519,-111.714358,38
Vermont,9217,626299,44.599072,-72.500261,68
Virginia,39490,8517685,37.123225,-78.492772,216
Washington,66456,7535591,47.286835,-120.212614,113
West Virginia,24038,1805832,38.475841,-80.840841,75
Wisconsin,54158,5813568,44.430898,-89.688464,107
Wyoming,97093,577737,43.170026,-107.568535,6
